,Unnamed: 0,date,dunknumber,file_timestamp,Bracket Type,approx. Flume T [°C],Flow speed [cm/s],Turbine Speed,Bath T [°C],Bath Sat [%],In Bath [UTC],Caps on [UTC],In Flume [UTC],caps off [UTC],FLUME_REF_TEMP,FLUME_REF_TEMP_STD,FLUME_REF_PSAL,FLUME_REF_PSAL_STD,FLUME_REF_FLOWSPEED,aa3827_tau_phase,aa3827_tau_o2sat,aa3827_tau_doxy,aa3312_tau_phase,aa3312_tau_o2sat,aa3312_tau_doxy,aa3412_tau_phase,aa3412_tau_o2sat,aa3412_tau_doxy,aa3413_tau_phase,aa3413_tau_o2sat,aa3413_tau_doxy,rbr210619_tau_phase,rbr210619_tau_o2sat,rbr210619_tau_doxy,rbr210624_tau_phase,rbr210624_tau_o2sat,rbr210624_tau_doxy,pyro1_o2_tau_phase,pyro1_o2_tau_o2sat,pyro1_o2_tau_doxy,pyro2_o2_tau_phase,pyro2_o2_tau_o2sat,pyro2_o2_tau_doxy
10,10,02/09/2023,11,1675966911752.0,O2 Large,15.9,14.0,28.0,15.9,70.0,18:21,,,,15.926104444444446,0.0018325832039213,30.52338825396826,0.0013967383089734,13.07,50.06398061894907,54.872217420261016,54.85281968512403,46.859560106428695,51.10445055672735,51.061587373964805,33.34981790116545,36.10422409040907,36.075357301762665,39.42672876752987,42.81606913933569,42.775047927162326,18.08814891316841,19.74008962272009,19.797073186743397,18.14558603847195,19.77931612876625,19.792914160661304,1.9293740061097315,1.9293740061097315,1.9293740061097315,1.6239904504704303,1.6239904504704303,1.6239904504704303
11,11,02/09/2023,12,1675968354451.0,O2 Large,15.9,19.0,44.0,15.9,70.0,18:45,,,,15.94902222222222,0.0025606326378793,30.52384619047619,0.0014048362369357,17.21,42.273306101394446,46.39848871328096,46.363862892541896,42.20607073262843,46.20677869063518,46.15431966920524,,,,35.19817753931698,38.06287784403999,38.01662641457401,18.579924666930893,,,15.996781002580342,17.35108339543983,17.33799874778046,,,,1.3034078827255375,1.3034078827255375,1.3034078827255375
12,12,02/09/2023,13,1675969786931.0,O2 Large,15.9,19.0,44.0,15.7,70.0,19:09,,,,15.968249206349205,0.0025782529470568,30.52483587301588,0.0014651232516772,17.21,,,,,,,29.00797514635083,31.42654910449852,31.393870839934443,,,,17.559762583225844,18.80231222284916,18.783217970135603,16.649843140066768,18.056474144705927,18.04227162883808,1.8762896403722973,1.8762896403722973,1.8762896403722973,2.130210939042985,2.130210939042985,2.130210939042985
13,13,02/09/2023,14,1675971850929.0,O2 Large,15.9,25.0,77.0,15.8,70.0,19:33,19:54,19:54,19:55,16.029801904761904,0.0065706753191479,30.52490063492064,0.001489348289365,24.39,,,,37.13538343941292,40.67872852748759,40.5892101481709,,,,29.263429856346654,31.74392504511228,31.65900763746893,15.917577050127235,17.0872485124041,,13.625762630217311,14.702934641340882,14.658984758050128,,,,1.2973133204935412,1.2973133204935412,1.2973133204935412
14,14,02/09/2023,15,1675973166053.0,O2 Large,15.9,25.0,77.0,15.7,70.0,20:06,20:19,20:19,20:19,16.081023174603175,0.0063106135906224,30.52566333333333,0.0016297253639509,24.39,35.70594600146552,38.97312167415303,38.95044319272499,36.09772762770346,39.65344588907623,39.61505050183232,,,,29.42044048819221,32.07871875668391,32.03711287341346,15.464856981761113,16.823375927375185,16.722726960063596,13.456283281347837,14.556845117418844,14.522723908201185,1.270999917929532,1.270999917929532,1.270999917929532,1.5654194560168968,1.5654194560168968,1.5654194560168968
15,15,02/10/2023,16,1676038536798.0,O2 Large,16.4,6.0,5.0,16.3,120.0,,,14:20,,16.363567777777778,0.0017090403363446,30.53931222222222,0.0012016627956405,6.23,84.93151969104173,78.451051184447,78.74627859013526,75.28964436639656,69.80210269871739,,56.27459444243859,52.71412320624307,52.999617961289005,62.07345586919633,58.19483322221844,58.51160694869936,29.480771623509074,27.87040091311609,27.91027433443344,31.08329568505245,29.54106602231513,29.583754102693085,3.266446072839244,3.266446072839244,3.266446072839244,3.0638134390388307,3.0638134390388307,3.0638134390388307
16,16,02/10/2023,17,1676039427519.0,O2 Large,16.4,6.0,5.0,16.3,120.0,,,15:55,,16.38256349206349,0.0017193761869232,30.539458253968256,0.0013435868125289,6.23,79.90343656400496,74.16382851770271,74.38909507544994,72.62727393136942,,,53.86147815132129,50.21732680145109,50.57843691734374,60.581409849107175,56.83387979950503,57.24657737966569,30.568632300117237,29.04124677942633,29.078753770490952,30.43916360558594,29.003283278529253,29.013503161082184,3.24853038596605,3.24853038596605,3.24853038596605,3.698768668755147,3.698768668755147,3.698768668755147
17,17,02/10/2023,18,1676041614631.0,O2 Large,16.4,11.0,20.0,16.3,120.0,16:05,,,,16.408540476190478,0.0020481574596676,30.539388888888887,0.0013971752808549,10.82,,,,57.70039317214975,53.74095226025176,53.85599191944011,42.57066910466448,39.77329410391921,39.90208422774455,,,,22.667269168922225,21.437540065744965,21.467477190146123,21.661391129234044,20.425979439957903,20.45734226127058,2.08155241781128,2.08155241781128,2.08155241781128,1.830624989549644,1.830624989549644,1.830624989549644
18,18,02/10/2023,19,1676042898223.0,O2 Large,16.4,11.0,20.0,16.3,120.0,16:28,,,,16.423473333333334,0.0019167399571908,30.539542063492068,0.0011217866400568,10.82,,,,56.30078489418602,52.48770860281115,52.538751079777896,41.72097618468383,39.11906144576439,39.17486547983258,,,,23.01671484609228,21.628749968396058,21.61964600070464,21.69083675441356,20.36901874364367,20.353658648841087,1.4323744898960342,,,,,
19,19,02/10/2023,20,1676049008192.0,O2 Large,16.3,25.0,77.0,16.3,120.0,15:51,17:20,,,16.532795873015875,0.0075698534583372,30.535600476190474,0.0016134011482908,24.39,39.61655524032261,36.82591448488809,37.047518500948,43.020997601467,40.13001357939828,40.48227453203115,,,,32.1098722169744,30.1477078367844,30.39114187595634,,,,14.435993495361584,,,1.6655772496756571,1.6655772496756571,1.6655772496756571,1.4130175392494513,1.4130175392494513,1.4130175392494513
