,OPTODE,F_phase,F_std_phase,bv_b_phase,bv_b_std_phase,F_o2sat,F_std_o2sat,bv_b_o2sat,bv_b_std_o2sat,F_doxy,F_std_doxy,bv_b_doxy,bv_b_std_doxy
0,,A_phase,A_std_phase,b_phase,b_std_phase,A_o2sat,A_std_o2sat,b_o2sat,b_std_o2sat,A_doxy,A_std_doxy,b_doxy,b_std_doxy
1,AA4330|WTW,9784451.635510333,887840.83846261,81329.70645468979,13719.450160744322,10693005.031227805,991895.2327186839,82372.85879190432,14133.296474504388,10540883.188807333,1015820.8421289384,81478.21788074335,14504.736690583522
2,AA4330,6634909.498811485,399873.02623110707,67451.0221651259,8017.9051840463635,7354646.29461406,425794.45083884546,71850.15114256015,7985.471562776908,7422311.963447608,429391.04194890376,74031.30095426887,8119.453490044474
3,RBR|SLOW,3814331.6837703334,293253.10740643647,86093.10191612589,11941.567438299788,4140832.459678519,305906.5475050571,90146.8056226814,11762.006672193054,3980916.3502104525,285393.76804839226,86535.63065131265,11077.978977072826
4,PYRO-PICO,319110.00056249637,59524.83637207809,53213.286148610736,22230.04548944185,337047.6867925741,61815.69846832762,63287.4530360917,24126.212343972646,327608.9429749411,61323.28237902319,59621.99448523862,23631.295906274132
