,TEMP,VELO,PSAL,AA4330|WTW_TAU_PHASE,AA4330|WTW_TAU_O2SAT,AA4330|WTW_TAU_DOXY,AA4330_TAU_PHASE,AA4330_TAU_O2SAT,AA4330_TAU_DOXY,RBR|SLOW_TAU_PHASE,RBR|SLOW_TAU_O2SAT,RBR|SLOW_TAU_DOXY,PYRO-PICO_TAU_PHASE,PYRO-PICO_TAU_O2SAT,PYRO-PICO_TAU_DOXY
128,16.61,24.39,30.541,39.9,37.25,37.42,,,,15.26,14.25,14.23,1.65,1.65,1.65
174,6.54,6.23,30.724,81.2,82.9,80.22,68.91,70.55,68.63,35.35,36.5,35.58,4.43,4.43,4.43
175,6.85,6.23,30.702,74.79,80.76,79.81,65.9,70.47,69.63,34.16,36.31,35.93,2.64,2.64,2.64
176,7.07,7.5,30.659,66.26,71.38,70.65,59.06,63.22,62.58,29.77,31.72,31.41,3.58,3.58,3.58
177,7.22,10.82,30.613,56.66,61.05,60.62,48.36,51.72,51.32,24.12,25.71,25.49,3.02,3.02,3.02
178,7.35,10.82,30.563,54.98,59.29,58.87,44.73,48.48,48.23,23.16,24.87,24.67,1.2,1.2,1.2
179,9.18,24.39,30.788,39.19,41.94,41.56,31.28,33.45,33.19,15.76,16.75,16.59,1.94,1.94,1.94
180,9.31,10.82,30.707,55.33,59.8,59.44,48.05,51.78,51.49,24.61,26.42,26.24,2.04,2.04,2.04
181,9.42,17.21,30.628,45.29,48.8,48.49,37.38,40.16,39.91,18.71,20.18,20.03,1.63,1.63,1.63
182,9.53,13.07,30.57,54.72,58.92,58.52,41.32,44.55,44.26,20.08,21.46,21.29,1.56,1.56,1.56
210,7.32,24.39,30.817,30.8,33.12,32.67,,,,,,,,,
211,7.5,17.21,30.757,38.74,42.22,42.01,,,,,,,,,
212,7.64,13.07,30.718,43.62,47.55,47.3,,,,,,,,,
213,7.79,10.82,30.641,51.42,55.63,55.17,,,,,,,,,
214,7.93,7.5,30.567,57.62,62.79,62.62,,,,,,,,,
215,8.02,6.23,30.513,63.71,69.68,69.57,,,,,,,,,
